2019-05-25 09:52:45.691 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.OrgiSkillRelRepository.
2019-05-25 09:52:45.691 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.OnlineUserHisRepository.
2019-05-25 09:52:45.692 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.SysDicRepository.
2019-05-25 09:52:45.692 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.RoleRepository.
2019-05-25 09:52:45.692 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.UserRepository.
2019-05-25 09:52:45.692 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.StreamingFileRepository.
2019-05-25 09:52:45.692 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.RecentUserRepository.
2019-05-25 09:52:45.693 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.ChatbotRepository.
2019-05-25 09:52:45.693 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.KbsExpertRepository.
2019-05-25 09:52:45.693 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.AiSNSAccountRepository.
2019-05-25 09:52:45.694 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.QueSurveyProcessRepository.
2019-05-25 09:52:45.694 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.TagRelationRepository.
2019-05-25 09:52:45.694 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.MediaRepository.
2019-05-25 09:52:45.694 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.JobDetailRepository.
2019-05-25 09:52:45.695 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.TopicItemRepository.
2019-05-25 09:52:45.695 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.WorkMonitorRepository.
2019-05-25 09:52:45.695 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.StatusEventRepository.
2019-05-25 09:52:45.695 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.es.EntCustomerRepository.
2019-05-25 09:52:45.696 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.CallCenterSkillRepository.
2019-05-25 09:52:45.696 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.chatopera.cc.app.persistence.repository.MetadataRepository.
